Name,Role,Genre
Aaron Sorkin,writer,['Biography']
Adam Sandler,actor,['Animation']
Alan Arkin,actor,['Biography']
Alejandro G. Iñárritu,director,['Action']
Allen Leech,actor,['Biography']
Andrew Garfield,actor,['Biography']
Andrew Stanton,writer,['Adventure']
Andy Samberg,actor,['Animation']
Andy Serkis,actor,['Adventure']
Andy Weir,writer,['Adventure']
Ang Lee,director,['Adventure']
Anthony Russo,director,['Action']
Barkhad Abdi,actor,['Biography']
Barkhad Abdirahman,actor,['Biography']
Ben Affleck,actor,['Biography']
Ben Hardy,actor,['Biography']
Ben Kingsley,actor,['Mystery']
Ben Mezrich,writer,['Biography']
Benedict Cumberbatch,actor,['Biography']
Benjamin Bratt,actor,['Adventure']
Bill Condon,writer,['Biography']
Bill Hader,actor,['Adventure']
Bill Mantlo,writer,['Action']
Billy Frolick,writer,['Animation']
Bob Hilgenberg,writer,['Animation']
Boyd Holbrook,actor,['Action']
Brad Pitt,actor,['Biography']
Bradley Cooper,actor,"['Action', 'Mystery']"
Brian Hayes Currie,writer,['Biography']
Bryan Cranston,actor,['Biography']
Bryan Singer,director,['Biography']
Byron Howard,director,['Adventure']
Carlos Blanco,actor,['Animation']
Charlie Kaufman,director,['Animation']
Chiwetel Ejiofor,actor,['Biography']
Chris Buck,director,['Adventure']
Chris Evans,actor,['Action']
Chris Hemsworth,actor,['Action']
Chris Pratt,actor,['Action']
Chris Terrio,writer,['Biography']
Christian Bale,actor,['Action']
Christopher L. Yost,writer,['Action']
Christopher Nolan,director,"['Action', 'Adventure']"
Cinco Paul,writer,['Animation']
Craig Kyle,writer,['Action']
Dan Abnett,writer,['Action']
David Fincher,director,['Biography']
David Magee,writer,['Adventure']
David S. Goyer,writer,['Action']
David Thewlis,actor,['Animation']
Dennis Lehane,writer,['Mystery']
Domhnall Gleeson,actor,['Action']
Drew Goddard,writer,['Adventure']
Duke Johnson,director,['Animation']
Ed Skrein,actor,['Action']
Fernando Cortizo,director,['Animation']
Fran Walsh,writer,['Adventure']
Gael García Bernal,actor,['Adventure']
Garth Jennings,director,['Animation']
Gary Hudson,actor,['Mystery']
Gary Oldman,actor,['Action']
Genndy Tartakovsky,director,['Animation']
Graham Moore,writer,['Biography']
Guillermo del Toro,writer,['Adventure']
Gwilym Lee,actor,['Biography']
Heath Allyn,actor,['Mystery']
Hugh Jackman,actor,"['Action', 'Biography']"
Ian McKellen,actor,['Adventure']
Idris Elba,actor,['Adventure']
Irrfan Khan,actor,['Adventure']
J.A. Bayona,director,['Animation']
J.J. Abrams,director,['Mystery']
James Gunn,director,['Action']
James Mangold,director,['Action']
Jared Bush,director,['Adventure']
Jason Bateman,actor,['Adventure']
Jason Dolan,writer,['Mystery']
Jason Segel,actor,['Animation']
Jennifer Lee,director,['Adventure']
Jenny Bicks,writer,['Biography']
Jeremy Renner,actor,['Action']
Jesse Eisenberg,actor,['Biography']
Jie Liu,director,['Mystery']
Joe Russo,director,['Action']
Joel Courtney,actor,['Mystery']
John August,writer,['Animation']
John Goodman,actor,['Biography']
John Lasseter,writer,['Adventure']
John Ridley,writer,['Biography']
John Romita Sr.,writer,['Action']
Jonah Hill,actor,['Biography']
Jonathan Groff,actor,['Adventure']
Jonathan Nolan,writer,"['Action', 'Adventure']"
Jordan Belfort,writer,['Biography']
Jorge Sanz,actor,['Animation']
Joseph Gordon-Levitt,actor,['Action']
Josh Gad,actor,['Adventure']
Joss Whedon,director,['Action']
Jun Falkenstein,director,['Animation']
Justin Timberlake,actor,['Biography']
Keith Giffen,writer,['Action']
Ken Stott,actor,['Adventure']
Ken Watanabe,actor,['Action']
Kevin James,actor,['Animation']
Kyle Chandler,actor,['Mystery']
Laeta Kalogridis,writer,['Mystery']
Larry Lieber,writer,['Action']
Lee Unkrich,director,['Adventure']
Leonard Ripps,writer,['Animation']
Leonardo DiCaprio,actor,"['Action', 'Mystery', 'Biography']"
Lewis Black,actor,['Adventure']
Lewis MacDougall,actor,['Animation']
Mahershala Ali,actor,['Biography']
Mark Ruffalo,actor,"['Action', 'Mystery']"
Martin Freeman,actor,['Adventure']
Martin Scorsese,director,"['Mystery', 'Biography']"
Martin Short,actor,['Animation']
Matt Cohen,actor,['Mystery']
Matt Damon,actor,['Adventure']
Matthew Goode,actor,['Biography']
Matthew McConaughey,actor,"['Animation', 'Adventure', 'Biography']"
Mel Gibson,director,['Biography']
Michael Arndt,writer,['Adventure']
Michael Fassbender,actor,['Biography']
Michael Kenneth Williams,actor,['Biography']
Morten Tyldum,director,['Biography']
Natalie Bible',director,['Mystery']
Ned Beatty,actor,['Adventure']
Neil Burger,director,['Mystery']
Nick Vallelonga,writer,['Biography']
Nicole Perlman,writer,['Action']
Patrick Stewart,actor,['Action']
Paul Greengrass,director,['Biography']
Pete Docter,director,['Adventure']
Peter Farrelly,director,['Biography']
Peter Jackson,director,['Adventure']
Peter Morgan,writer,['Biography']
Phil Johnston,writer,['Adventure']
Pierre Coffin,director,['Animation']
Rami Malek,actor,['Biography']
Rich Moore,director,['Adventure']
Richard Armitage,actor,['Adventure']
Ridley Scott,director,['Adventure']
Robert De Niro,actor,['Mystery']
Robert Downey Jr.,actor,['Action']
Robert Schenkkan,writer,['Biography']
Robert Smigel,writer,['Animation']
Ronnie Del Carmen,director,['Adventure']
Roy Thomas,writer,['Action']
Russell Brand,actor,['Animation']
Ryan Reynolds,actor,['Action']
Sam Worthington,actor,['Biography']
Scott Eastwood,actor,['Mystery']
Scott Frank,writer,['Action']
Sebastian Maniscalco,actor,['Biography']
Sebastian Stan,actor,['Action']
Seth MacFarlane,actor,['Animation']
Shaun Sipos,actor,['Mystery']
Simon Rich,writer,['Adventure']
Steve Carell,actor,['Animation']
Steve McQueen,director,['Biography']
Suraj Sharma,actor,['Adventure']
Sylvain Chomet,director,['Animation']
T.J. Miller,actor,['Action']
Taika Waititi,director,['Action']
Terence Winter,writer,['Biography']
Tim Allen,actor,['Adventure']
Tim Burton,director,['Animation']
Toby Kebbell,actor,['Animation']
Tom Hanks,actor,"['Adventure', 'Biography']"
Tom Hardy,actor,['Action']
Tom Hiddleston,actor,['Action']
Tom Noonan,actor,['Animation']
Tommy O'Reilly,writer,['Mystery']
Tôma Ikuta,actor,['Mystery']
Viggo Mortensen,actor,['Biography']
Vin Diesel,actor,['Action']
Wallace Huo,actor,['Mystery']
Will Poulter,actor,['Action']
Yann Martel,writer,['Adventure']
Yoshihiro Nakamura,director,['Mystery']
Yoshiyoshi Arakawa,actor,['Mystery']
Zac Efron,actor,['Biography']
Zak Penn,writer,['Action']
Zijian Dong,actor,['Mystery']
